#試験名,口腔組織学定期試験
#試験日,2025-08-25
#受験者数,139
#識別係数定義,D_25
問題,正答肢,正答率,正答数,識別係数,a,b,c,d,e,ab,ac,ad,ae,bc,bd,be,cd,ce,de,abc,abd,abe,acd,ace,ade,bcd,bce,bde,cde,abcd,abce,abde,acde,bcde,abcde,空白
1,b,0.9281,129,0.088,3,129,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2,ad,0.8273,115,0.206,0,0,0,0,0,2,1,115,2,1,3,1,1,2,2,0,1,0,1,1,0,0,0,0,0,0,2,0,1,1,1,1
3,d,0.8489,118,0.471,1,3,5,118,2,0,0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,0
4,b,0.8993,125,0.588,1,125,2,0,1,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
5,e,0.9065,126,0.412,1,1,1,0,126,0,0,0,1,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,0,0,1,0
6,d,0.9065,126,0.265,2,0,3,126,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
7,cd,0.8058,112,0.265,0,0,1,0,0,1,1,3,0,3,3,1,112,3,2,0,0,1,1,1,1,1,0,1,0,0,0,0,0,2,1,0
8,acd,0.7266,101,0.235,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,6,2,101,5,2,4,4,1,3,1,1,0,0,0,1,0
9,d,0.8705,121,0.294,2,1,3,121,2,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0
10,cd,0.7554,105,0.529,0,0,0,0,0,1,6,5,0,5,1,1,105,4,7,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
11,e,0.8417,117,0.088,1,3,1,1,117,0,0,0,0,0,0,1,1,0,1,0,1,1,0,2,1,1,0,1,0,0,1,0,1,1,2,1
12,a,0.9065,126,0.118,126,1,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,1,0,0
13,e,0.8849,123,0.176,1,2,2,0,123,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,2
14,c,0.9209,128,0.559,0,3,128,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
15,ab,0.7986,111,0.412,0,1,0,0,0,111,2,2,2,6,2,4,1,2,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
